GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	sample	COV
60	530	1395	9	8.654302	0.23171	mcDNA	391.403478037282
61	470	1041	9	7.282602	0.225715	mcDNA	329.366337338501
62	415	969	9	7.677315	0.246631	mcDNA	347.217810631961
63	354	884	9	8.210748	0.276157	mcDNA	371.343099014532
64	323	347	9	3.532325	0.189625	mcDNA	159.754569526005
65	249	186	10	2.456107	0.180091	mcDNA	111.08103486933
66	158	100	11	2.081022	0.208102	mcDNA	94.1172666116922
67	90	16	14	0.584536	0.146134	mcDNA	26.43649637348
68	21	1	12	0.156572	0.156572	mcDNA	7.08119792483014
69	5	0	0	0	0	mcDNA	0
70	3	0	0	0	0	mcDNA	0
71	5	0	0	0	0	mcDNA	0
72	4	0	0	0	0	mcDNA	0
73	5	0	0	0	0	mcDNA	0
74	5	0	0	0	0	mcDNA	0
75	4	0	0	0	0	mcDNA	0
76	9	0	0	0	0	mcDNA	0
77	9	0	0	0	0	mcDNA	0
78	3	0	0	0	0	mcDNA	0
79	9	0	0	0	0	mcDNA	0
80	3	0	0	0	0	mcDNA	0
81	1	0	0	0	0	mcDNA	0
82	3	0	0	0	0	mcDNA	0
83	1	0	0	0	0	mcDNA	0
84	2	0	0	0	0	mcDNA	0
85	1	0	0	0	0	mcDNA	0
86	5	0	0	0	0	mcDNA	0
87	2	0	0	0	0	mcDNA	0
88	0	0	0	0	0	mcDNA	0
89	0	0	0	0	0	mcDNA	0
90	0	0	0	0	0	mcDNA	0
91	0	0	0	0	0	mcDNA	0
92	0	0	0	0	0	mcDNA	0
93	0	0	0	0	0	mcDNA	0
94	0	0	0	0	0	mcDNA	0
95	0	0	0	0	0	mcDNA	0
96	0	0	0	0	0	mcDNA	0
97	0	0	0	0	0	mcDNA	0
98	0	0	0	0	0	mcDNA	0
99	0	0	0	0	0	mcDNA	0
100	0	0	0	0	0	mcDNA	0
0	134	1595	19	22.07326	0.552696	sc1_D5	1761.08329368097
1	128	13	13	0.188341	0.052236	sc1_D5	15.0265157305793
2	284	13	18	0.084886	0.023543	sc1_D5	6.77250738981928
3	334	21	16	0.116596	0.025443	sc1_D5	9.30244412062495
4	586	39	17	0.123418	0.019763	sc1_D5	9.84672757624009
5	881	79	14	0.166288	0.018709	sc1_D5	13.2670488518515
6	1734	175	16	0.187154	0.014148	sc1_D5	14.931812643242
7	3729	388	16	0.192952	0.009796	sc1_D5	15.3943977320219
8	8141	923	19	0.210249	0.00692	sc1_D5	16.7744139929095
9	16808	2073	20	0.228715	0.005023	sc1_D5	18.2476972370299
10	34763	13651	12	0.728212	0.006233	sc1_D5	58.0993467869269
11	69810	13455	18	0.357418	0.003081	sc1_D5	28.5160809350709
12	130051	28706	18	0.409326	0.002416	sc1_D5	32.6574860382769
13	225313	54041	19	0.444783	0.001913	sc1_D5	35.4863717735079
14	366008	94145	22	0.476999	0.001555	sc1_D5	38.056678986363
15	556676	169804	18	0.565661	0.001373	sc1_D5	45.1304491038872
16	800615	245806	22	0.56935	0.001148	sc1_D5	45.4247706617535
17	1090671	363373	22	0.617831	0.001025	sc1_D5	49.2927575001701
18	1418273	494055	23	0.64599	0.000919	sc1_D5	51.5393828045774
19	1774919	648979	23	0.678052	0.000842	sc1_D5	54.0974033489827
20	2152468	828041	23	0.713388	0.000784	sc1_D5	56.9166352732889
21	2542014	1024631	24	0.747481	0.000738	sc1_D5	59.6366962308214
22	2928897	1238690	24	0.784276	0.000705	sc1_D5	62.5723323711555
23	3296894	1456472	24	0.819234	0.000679	sc1_D5	65.3614061092667
24	3640966	1686567	24	0.859009	0.000661	sc1_D5	68.5347972624611
25	3947965	1905331	24	0.894968	0.000648	sc1_D5	71.4037343454961
26	4186891	2104934	24	0.932304	0.000643	sc1_D5	74.3825333925274
27	4342177	2265612	24	0.967584	0.000643	sc1_D5	77.1972974373972
28	4398905	2386177	25	1.005932	0.000651	sc1_D5	80.2568374485273
29	4357284	2446364	25	1.041156	0.000666	sc1_D5	83.0671336139609
30	4224385	2461038	25	1.080352	0.000689	sc1_D5	86.1943300851264
31	3994228	2398558	25	1.113597	0.000719	sc1_D5	88.8467345826236
32	3689416	2284158	25	1.148098	0.00076	sc1_D5	91.5993472331921
33	3323630	2119456	25	1.182558	0.000812	sc1_D5	94.3486887577447
34	2921606	1914050	25	1.214905	0.000878	sc1_D5	96.9294476171383
35	2506143	1688504	25	1.249415	0.000962	sc1_D5	99.682778319759
36	2088773	1444962	25	1.28285	0.001067	sc1_D5	102.350341693915
37	1692915	1197760	25	1.312034	0.001199	sc1_D5	104.678745148719
38	1339228	967317	25	1.339445	0.001362	sc1_D5	106.865692349227
39	1030095	758286	25	1.365106	0.001568	sc1_D5	108.913018317351
40	762712	572382	25	1.391669	0.001839	sc1_D5	111.032309057824
41	551367	420118	25	1.412997	0.00218	sc1_D5	112.733932854564
42	391418	303391	25	1.437383	0.00261	sc1_D5	114.67953478195
43	267733	208562	25	1.444588	0.003163	sc1_D5	115.254375341567
44	178016	139765	25	1.455962	0.003894	sc1_D5	116.161833568504
45	115350	90635	25	1.457099	0.00484	sc1_D5	116.252547477774
46	74972	59396	24	1.469159	0.006028	sc1_D5	117.214737227806
47	47573	37286	24	1.453436	0.007527	sc1_D5	115.960300292503
48	29860	23058	24	1.431998	0.00943	sc1_D5	114.249900304013
49	19161	14459	24	1.399364	0.011638	sc1_D5	111.646243562508
50	11935	8413	24	1.307191	0.014252	sc1_D5	104.29235336104
51	7172	4863	23	1.257403	0.018031	sc1_D5	100.320089407923
52	4961	3020	23	1.128881	0.020542	sc1_D5	90.0661465344884
53	3691	2060	23	1.034984	0.022803	sc1_D5	82.5747094732314
54	2984	1430	21	0.888685	0.023501	sc1_D5	70.9024542294554
55	1836	919	19	0.928225	0.030619	sc1_D5	74.0570962457296
56	1510	670	20	0.822827	0.031789	sc1_D5	65.6480684452422
57	1275	475	18	0.690866	0.031699	sc1_D5	55.1197499042821
58	922	344	16	0.691892	0.037304	sc1_D5	55.20160783824
59	641	250	16	0.723257	0.045743	sc1_D5	57.7040192403756
60	530	163	15	0.570325	0.044671	sc1_D5	45.502559634082
61	470	167	14	0.658915	0.050988	sc1_D5	52.5705853351881
62	415	199	16	0.889233	0.063036	sc1_D5	70.9461756210821
63	354	187	16	0.9796	0.071635	sc1_D5	78.1559767107293
64	323	140	15	0.803778	0.067932	sc1_D5	64.1282713848475
65	249	118	14	0.878806	0.080901	sc1_D5	70.114272426755
66	158	67	15	0.786372	0.096071	sc1_D5	62.7395587157714
67	90	23	17	0.47391	0.098817	sc1_D5	37.8102275653142
68	21	3	16	0.264919	0.152951	sc1_D5	21.1361812925987
69	5	0	0	0	0	sc1_D5	0
70	3	0	0	0	0	sc1_D5	0
71	5	0	0	0	0	sc1_D5	0
72	4	0	0	0	0	sc1_D5	0
73	5	0	0	0	0	sc1_D5	0
74	5	0	0	0	0	sc1_D5	0
75	4	0	0	0	0	sc1_D5	0
76	9	0	0	0	0	sc1_D5	0
77	9	0	0	0	0	sc1_D5	0
78	3	0	0	0	0	sc1_D5	0
79	9	0	0	0	0	sc1_D5	0
80	3	0	0	0	0	sc1_D5	0
81	1	0	0	0	0	sc1_D5	0
82	3	0	0	0	0	sc1_D5	0
83	1	0	0	0	0	sc1_D5	0
84	2	0	0	0	0	sc1_D5	0
85	1	0	0	0	0	sc1_D5	0
86	5	0	0	0	0	sc1_D5	0
87	2	0	0	0	0	sc1_D5	0
88	0	0	0	0	0	sc1_D5	0
89	0	0	0	0	0	sc1_D5	0
90	0	0	0	0	0	sc1_D5	0
91	0	0	0	0	0	sc1_D5	0
92	0	0	0	0	0	sc1_D5	0
93	0	0	0	0	0	sc1_D5	0
94	0	0	0	0	0	sc1_D5	0
95	0	0	0	0	0	sc1_D5	0
96	0	0	0	0	0	sc1_D5	0
97	0	0	0	0	0	sc1_D5	0
98	0	0	0	0	0	sc1_D5	0
99	0	0	0	0	0	sc1_D5	0
100	0	0	0	0	0	sc1_D5	0
0	134	1407	19	18.651892	0.497251	sc1_D10	1553.28451422741
1	128	48	15	0.666139	0.096149	sc1_D10	55.4744469366931
2	284	70	16	0.437838	0.052332	sc1_D10	36.462091091901
3	334	91	18	0.483981	0.050735	sc1_D10	40.3047686787107
4	586	181	16	0.548674	0.040783	sc1_D10	45.6922454600964
5	881	238	16	0.479882	0.031106	sc1_D10	39.9634138593809
6	1734	543	15	0.556268	0.023872	sc1_D10	46.3246554376495
7	3729	1059	17	0.504472	0.015502	sc1_D10	42.011209665021
8	8141	2341	18	0.510807	0.010557	sc1_D10	42.538773163546
9	16808	5071	19	0.535934	0.007526	sc1_D10	44.6312890321235
10	34763	37077	11	1.894615	0.009839	sc1_D10	157.778960972054
11	69810	27724	16	0.705459	0.004237	sc1_D10	58.7489215636865
12	130051	53686	17	0.733299	0.003165	sc1_D10	61.0673695193197
13	225313	90830	18	0.716105	0.002376	sc1_D10	59.6354947294793
14	366008	144592	21	0.701758	0.001846	sc1_D10	58.4407112230328
15	556676	262825	16	0.838683	0.001636	sc1_D10	69.8434944962036
16	800615	333581	22	0.740135	0.001281	sc1_D10	61.636655087736
17	1090671	471524	21	0.767969	0.001118	sc1_D10	63.9546033778615
18	1418273	613354	23	0.768219	0.000981	sc1_D10	63.9754227740148
19	1774919	780909	23	0.781548	0.000884	sc1_D10	65.0854296993249
20	2152468	964252	23	0.79577	0.00081	sc1_D10	66.2698035076947
21	2542014	1167463	23	0.815828	0.000755	sc1_D10	67.9401852998675
22	2928897	1377938	23	0.835717	0.000712	sc1_D10	69.5964931802407
23	3296894	1593710	24	0.858693	0.00068	sc1_D10	71.509878964315
24	3640966	1811541	24	0.883823	0.000657	sc1_D10	73.6026446656462
25	3947965	2024110	24	0.91074	0.00064	sc1_D10	75.8442274106814
26	4186891	2211524	24	0.938282	0.000631	sc1_D10	78.1378586460998
27	4342177	2359871	24	0.965416	0.000628	sc1_D10	80.397512626996
28	4398905	2457939	24	0.992568	0.000633	sc1_D10	82.6586656044153
29	4357284	2506508	24	1.021849	0.000645	sc1_D10	85.0971165594762
30	4224385	2502227	24	1.052196	0.000665	sc1_D10	87.6243414197348
31	3994228	2427036	24	1.079386	0.000693	sc1_D10	89.8886589453694
32	3689416	2298589	24	1.106719	0.00073	sc1_D10	92.1648851656037
33	3323630	2120046	24	1.133095	0.000778	sc1_D10	94.361414737363
34	2921606	1900990	24	1.155824	0.000838	sc1_D10	96.2542309580378
35	2506143	1665514	24	1.180527	0.000915	sc1_D10	98.3114371307392
36	2088773	1422991	24	1.210165	0.001014	sc1_D10	100.779618183507
37	1692915	1172258	25	1.230047	0.001136	sc1_D10	102.435343120788
38	1339228	944030	24	1.252175	0.001289	sc1_D10	104.27810951311
39	1030095	737256	25	1.271378	0.001481	sc1_D10	105.877288970439
40	762712	551498	25	1.284449	0.00173	sc1_D10	106.965810278919
41	551367	403296	24	1.299322	0.002046	sc1_D10	108.204397794872
42	391418	288884	24	1.311041	0.002439	sc1_D10	109.180327808954
43	267733	196932	24	1.306616	0.002944	sc1_D10	108.811824497041
44	178016	131338	24	1.310584	0.003616	sc1_D10	109.142269952786
45	115350	85026	24	1.309386	0.00449	sc1_D10	109.042503406419
46	74972	55574	24	1.316759	0.005586	sc1_D10	109.656509037773
47	47573	35032	24	1.308091	0.006989	sc1_D10	108.934658934345
48	29860	21659	23	1.288493	0.008755	sc1_D10	107.302584831095
49	19161	13209	23	1.224575	0.010655	sc1_D10	101.979648177784
50	11935	7643	22	1.137562	0.013012	sc1_D10	94.7334157078305
51	7172	4497	22	1.113823	0.016609	sc1_D10	92.7564891266963
52	4961	2762	21	0.988981	0.018818	sc1_D10	82.3599489084075
53	3691	1865	21	0.89757	0.020784	sc1_D10	74.7474616213247
54	2984	1500	20	0.892948	0.023056	sc1_D10	74.3625526252422
55	1836	933	19	0.902698	0.029553	sc1_D10	75.1745090752215
56	1510	605	20	0.711725	0.028936	sc1_D10	59.2707389088732
57	1275	485	20	0.675717	0.030683	sc1_D10	56.2720796421189
58	922	328	17	0.631941	0.034893	sc1_D10	52.6265200980888
59	641	198	16	0.548707	0.038995	sc1_D10	45.6949936203886
60	530	173	14	0.579834	0.044084	sc1_D10	48.2871749966456
61	470	121	14	0.457321	0.041575	sc1_D10	38.0845882729212
62	415	122	15	0.52221	0.047279	sc1_D10	43.4883874608911
63	354	153	15	0.767753	0.062069	sc1_D10	63.936615419585
64	323	108	15	0.593957	0.057154	sc1_D10	49.4633043241387
65	249	76	15	0.542185	0.062193	sc1_D10	45.1518572135409
66	158	62	17	0.697057	0.088526	sc1_D10	58.0492232977659
67	90	36	19	0.710548	0.118425	sc1_D10	59.1727211917834
68	21	2	0	0.169178	0.119627	sc1_D10	14.0887352097023
69	5	0	0	0	0	sc1_D10	0
70	3	0	0	0	0	sc1_D10	0
71	5	0	0	0	0	sc1_D10	0
72	4	0	0	0	0	sc1_D10	0
73	5	0	0	0	0	sc1_D10	0
74	5	0	0	0	0	sc1_D10	0
75	4	0	0	0	0	sc1_D10	0
76	9	0	0	0	0	sc1_D10	0
77	9	0	0	0	0	sc1_D10	0
78	3	0	0	0	0	sc1_D10	0
79	9	0	0	0	0	sc1_D10	0
80	3	0	0	0	0	sc1_D10	0
81	1	0	0	0	0	sc1_D10	0
82	3	0	0	0	0	sc1_D10	0
83	1	0	0	0	0	sc1_D10	0
84	2	0	0	0	0	sc1_D10	0
85	1	0	0	0	0	sc1_D10	0
86	5	0	0	0	0	sc1_D10	0
87	2	0	0	0	0	sc1_D10	0
88	0	0	0	0	0	sc1_D10	0
89	0	0	0	0	0	sc1_D10	0
90	0	0	0	0	0	sc1_D10	0
91	0	0	0	0	0	sc1_D10	0
92	0	0	0	0	0	sc1_D10	0
93	0	0	0	0	0	sc1_D10	0
94	0	0	0	0	0	sc1_D10	0
95	0	0	0	0	0	sc1_D10	0
96	0	0	0	0	0	sc1_D10	0
97	0	0	0	0	0	sc1_D10	0
98	0	0	0	0	0	sc1_D10	0
99	0	0	0	0	0	sc1_D10	0
100	0	0	0	0	0	sc1_D10	0
0	134	1146	19	27.385544	0.808964	sc1_D14	1261.25188847877
1	128	11	15	0.275185	0.082971	sc1_D14	12.6737522881061
2	284	17	16	0.191678	0.046489	sc1_D14	8.82780489881205
3	334	16	16	0.153396	0.038349	sc1_D14	7.06471248791292
4	586	34	16	0.18579	0.031863	sc1_D14	8.55663076696486
5	881	65	15	0.236254	0.029304	sc1_D14	10.8807699295899
6	1734	133	15	0.245609	0.021297	sc1_D14	11.3116180959334
7	3729	258	17	0.221549	0.013793	sc1_D14	10.2035254308106
8	8141	635	19	0.249768	0.009912	sc1_D14	11.5031624597841
9	16808	1604	19	0.305583	0.00763	sc1_D14	14.0737440102343
10	34763	10140	12	0.934033	0.009276	sc1_D14	43.017253378333
11	69810	10459	18	0.479749	0.004691	sc1_D14	22.0950269326693
12	130051	22294	18	0.548929	0.003676	sc1_D14	25.2811387603168
13	225313	41421	20	0.588675	0.002892	sc1_D14	27.1116562610638
14	366008	70528	22	0.617039	0.002323	sc1_D14	28.4179713214771
15	556676	122848	18	0.706655	0.002016	sc1_D14	32.5452710836404
16	800615	173587	22	0.694281	0.001666	sc1_D14	31.9753816971803
17	1090671	247533	22	0.726743	0.001461	sc1_D14	33.4704317427006
18	1418273	329038	23	0.742896	0.001295	sc1_D14	34.2143644451
19	1774919	424348	23	0.76557	0.001175	sc1_D14	35.2586243407357
20	2152468	528831	23	0.786723	0.001082	sc1_D14	36.2328339893369
21	2542014	640973	23	0.807427	0.001009	sc1_D14	37.1863647681691
22	2928897	760701	23	0.831671	0.000954	sc1_D14	38.3029316249122
23	3296894	880840	23	0.855527	0.000912	sc1_D14	39.40162899063
24	3640966	1004298	23	0.883258	0.000881	sc1_D14	40.6787909896542
25	3947965	1121664	24	0.909769	0.000859	sc1_D14	41.8997654138051
26	4186891	1227464	24	0.938769	0.000847	sc1_D14	43.2353717017753
27	4342177	1310912	24	0.966735	0.000844	sc1_D14	44.523356717271
28	4398905	1365299	24	0.993859	0.000851	sc1_D14	45.7725630950263
29	4357284	1393159	24	1.023827	0.000867	sc1_D14	47.1527509997811
30	4224385	1388211	24	1.052285	0.000893	sc1_D14	48.463395266783
31	3994228	1350947	24	1.083046	0.000932	sc1_D14	49.8801050952055
32	3689416	1281028	24	1.111841	0.000982	sc1_D14	51.2062700283814
33	3323630	1183235	24	1.139987	0.001048	sc1_D14	52.5025450139403
34	2921606	1064771	24	1.167014	0.001131	sc1_D14	53.7472840189393
35	2506143	937952	24	1.19844	0.001237	sc1_D14	55.1946206812066
36	2088773	800989	24	1.227939	0.001372	sc1_D14	56.5532086084077
37	1692915	664102	24	1.256149	0.001541	sc1_D14	57.852431138878
38	1339228	535145	25	1.279554	0.001749	sc1_D14	58.9303575240484
39	1030095	419123	25	1.302884	0.002012	sc1_D14	60.0048297550258
40	762712	314698	25	1.321219	0.002355	sc1_D14	60.8492553167477
41	551367	232360	25	1.349467	0.0028	sc1_D14	62.1502279520091
42	391418	166371	24	1.361063	0.003337	sc1_D14	62.6842862456402
43	267733	114560	25	1.370164	0.004048	sc1_D14	63.1034363431166
44	178016	75936	24	1.365936	0.004957	sc1_D14	62.9087141574085
45	115350	49487	24	1.373773	0.006175	sc1_D14	63.2696502428851
